model,rmse,mae,r2,low_rul_rmse,low_rul_bias,params,training_s
XGBoost*,14.56,11.42,0.877,6.21,2.54,,
LSTM,15.036757635879994,11.431558609008789,0.8690670728683472,3.8630884506207384,-0.4269948196411133,21313.0,78.7
GRU,15.218758522360293,11.544095039367676,0.8658783435821533,3.7332424856667306,-1.251205005645752,16001.0,132.8
BiLSTM,15.016728546207018,11.479869842529297,0.8694156408309937,3.9437374785839627,1.4199212646484376,42625.0,151.9
